letter,first_change,second_change
ന്ന്,ന്ന, 
ള്,ള്‍, 
ളെ,ള്‍,എ
ച്ചും,ച്ചു,ഉം
ത്തേക്ക്,്,ഏക്ക്
േക്ക്,്,ഏക്ക്
തോറും, ,തോറും
ന്മ്,ന്‍,  
ലക്ക്,ല,ക്ക്
കൊള്ളു, ,കൊള്ളു
ട്ടെ,്,ട്ടെ
ണെ,്,അണെ
വും,ം,ഉം
രുതെ,്,അരുതെ
മ്പോൾ,ം,അപ്പോള്‍
മ്പോഴ്,ം,അപ്പോഴ്
ണമായിരുന്നു,്,അണമായിരുന്നു
ാമത്തെ,ാം,എ
ക്കൊണ്ട്, ,കൊണ്ട്
കൊണ്ട്, ,കൊണ്ട്
വേണ്ടി, ,വേണ്ടി
യാന്‍,യുക,ആന്‍
ണേ,്,അണേ
ാന്‍,്,ആന്‍
ാല്‍,്,ആല്‍
ുമേ,്,ഉമേ
ത്രേ,്,അത്രേ
മ്മ്,ം, 
ിനു,ിന്,ഉ
ിന്,്,ന്
ല്ലെങ്കില്‍,ല്ല,എങ്കില്‍
പോയ്, ,പോയ്
െങ്കില്‍,്,എങ്കില്‍
ന്,ന്‍, 
നക്ക്,ന,ക്ക്
യക്ക്,യ,ക്ക്
ര്‍ക്ക്,ര്‍,ക്ക്
െത്ത്,്,എത്ത്
ത്ത്,ം, 
ൊപ്പം,്,ഒപ്പം
ാകും,്,ആകും
ര്,ര്‍, 
ല്,ല്‍, 
ില്‍,്,ഇല്‍
ിനെ,ിന്,എ
ിരിക്ക്,്,ഇരിക്ക്
ിരുന്നു,ിരിക്ക്,ന്നു
ോട്,്,ഓട്
ന്നുണ്ട്,ന്നു,ഉണ്ട്
ടന്‍,ട്, 
ുണ്ട്,്,ഉണ്ട്
ാവും,്,ആവും
ാണ്,്,ആണ്
െല്ലാം,്,എല്ലാം
ല്ലെന്ന,ല്ല,എന്ന
െന്ന,്,എന്ന
ില്ല,്,ഇല്ല
ല്ല,്,അല്ല
ല്ലാത്ത,ല്ല,ആത്ത
ാത്ത,്,ആത്ത
ല്ലാതെ,ല്ല,ആതെ
ാതെ,്,ആതെ
ാം,്,ആം
ായ്,്,ആയ്
ിരുന്ന്,്,ഇരുന്ന്
ഞ്ഞത്,ഞ്ഞ,അത്
മ്,ം, 
ല്ലോ,്,അല്ലോ
ന്റേത്,ന്‍,ത്
ന്റെത്,ന്‍,ത്
ാക്കള്‍,ാവ്,കള്‍
ായ,്,ആയ
ായിട്ട്,ായി,ഇട്ട്
ായി,്,ആയി
യ്, , 
ുന്ന്,്,ഉന്ന്
മിട,ം,ഇട
ുവ്,ു, 
ുള്ള,്,ഉള്ള
ുകള്‍,്,കള്‍
ക്കളെ, ,കളെ
ിന്റെ,്,ഇന്റെ
ിയത്,ി,അത്
ിത്,്,ഇത്
ിനത്,ിന്,അത്
ക്കള്‍, ,ക്കള്‍
യല്ല, ,അല്ല
നല്ല,ന്‍,അല്ല
തല്ല,ത്,അല്ല
ത്തത്,ത്ത,അത്
ള്ളത്,ള്ള,അത്
ള്‍ക്ക്,ള്‍,ക്ക്
ങ്ങള്‍,ം,കള്‍
ന്റെ,ന്‍,ന്റെ
യത്,യ,അത്
കള്‍, ,കള്‍
ന്മാര്‍,ന്‍,മാര്‍
മാര്‍, ,മാര്‍
യ്ക്ക്, ,ക്ക്
ക്കാള്‍, ,ക്കാള്‍
നാട്ട്,നാട്, 
നേത്,ന്‍,ഏത്
ന്റേ,ന്‍,ഏ
ാകട്ട്,്,ആകട്ട്
ാക്ക്,്,ആക്ക്
ും,്,ഉം
ുടെ,്,ഉടെ
ിന്‍റേ,്,ഇന്റേ
ന്‍‍റേ,ന്‍,ഏ
യുടേ, ,ഉടെ
ിന്‍റെ,്,ഇന്റെ
ന്‍റെ,ന്‍,എ
െതിരെ,്,എതിരെ
